question,question_id,category,release,paper_correct,baseline_correct,paper_prediction,baseline_prediction,expected,paper_index
What is the purpose of the Nmfaf_3daDataManagement_Deconfigure service operation? [3GPP Release 18],question 0,Standards specifications,18,True,True,Option 2,option 2,option 2,0
How does a supporting UE attach to the same core network operator from which it detached in a shared network? [3GPP Release 17],question 4,Standards specifications,17,True,True,Option 2,option 2,option 2,1
When can the setting of the Privacy exception list be changed? [3GPP Release 17],question 11,Standards specifications,17,True,True,Option 3,option 3,option 3,2
What does the NEF notify to the AF after determining the suitable DNAI(s)? [3GPP Release 18],question 12,Standards specifications,18,True,True,Option 4,option 4,option 4,3
"In online charging, how are chargeable events transformed into charging events? [3GPP Release 18]",question 14,Standards specifications,18,False,False,Option 4,option 1,option 2,4
What is the purpose of the PSFCH channel in NR V2X sidelink? [3GPP Release 16],question 19,Standards overview,16,True,True,Option 2,option 2,option 2,5
Which feature proposes to integrate selected WLAN direct discovery technologies as an alternative technology for ProSe Direct Discovery? [3GPP Release 15],question 23,Standards overview,15,True,True,Option 4,option 4,option 4,6
When can there be two N3 tunnel terminations at the RAN for a PDU Session? [3GPP Release 18],question 29,Standards specifications,18,True,True,Option 2,option 2,option 2,7
Which NGAP procedure is used for inter-system load balancing? [3GPP Release 17],question 37,Standards overview,17,False,False,Option 2,option 2,option 3,8
What is the purpose of the Validity Period for predictions? [3GPP Release 18],question 41,Standards specifications,18,True,True,Option 4,option 4,option 4,9
What is the purpose of the MCImp-MC_ARCH work item? [3GPP Release 14],question 42,Standards overview,14,True,True,Option 3,option 3,option 3,10
What should the UE consider if it cannot detect any cell meeting the S criterion on a frequency for sidelink operation? [3GPP Release 17],question 45,Standards specifications,17,True,True,Option 1,option 1,option 1,11
What is the purpose of the Member UE selection assistance functionality hosted by NEF? [3GPP Release 18],question 46,Standards specifications,18,True,True,Option 3,option 3,option 3,12
When does the AMF enable or disable the 5G access stratum time distribution for a UE? [3GPP Release 18],question 49,Standards specifications,18,False,True,Option 3,option 5,option 5,13
When can target UEs be positioned for lawful interception services? [3GPP Release 17],question 53,Standards specifications,17,True,True,Option 3,option 3,option 3,14
What are DCI formats with CRC scrambled by MCCH-RNTI or G-RNTI referred to as? [3GPP Release 17],question 60,Standards specifications,17,False,False,Option 1,option 1,option 2,15
What kind of access can enterprise UEs have to non-public networks? [3GPP Release 17],question 70,Standards specifications,17,True,True,Option 2,option 2,option 2,16
What is the purpose of the TRP Measurement Grid? [3GPP Release 18],question 73,Standards specifications,18,True,True,Option 4,option 4,option 4,17
What action is necessary to get access to services in Idle mode? [3GPP Release 17],question 74,Standards specifications,17,False,True,Option 5,option 1,option 1,18
How does EC-GSM-IoT improve coverage performance for Cellular IoT devices? [3GPP Release 14],question 76,Standards overview,14,True,True,Option 3,option 3,option 3,19
