question,question_id,category,release,paper_correct,baseline_correct,paper_prediction,baseline_prediction,expected,paper_index
"In online charging, how are chargeable events transformed into charging events? [3GPP Release 18]",question 14,Standards specifications,18,False,False,Option 4,option 1,option 2,4
Which NGAP procedure is used for inter-system load balancing? [3GPP Release 17],question 37,Standards overview,17,False,False,Option 2,option 2,option 3,8
What are DCI formats with CRC scrambled by MCCH-RNTI or G-RNTI referred to as? [3GPP Release 17],question 60,Standards specifications,17,False,False,Option 1,option 1,option 2,15
What triggers the NF/NF Service Context Transfer Push procedure? [3GPP Release 18],question 80,Standards specifications,18,False,False,Option 4,option 4,option 3,20
What is the purpose of the group identifier called 'External Group ID'? [3GPP Release 14],question 121,Standards specifications,14,False,False,Option 5,option 3,option 2,27
How does a non-supporting UE select a core network operator to serve it in a shared network? [3GPP Release 17],question 185,Standards specifications,17,False,False,Option 1,option 1,option 2,40
What is SIPTO at the Local Network? [3GPP Release 17],question 206,Standards specifications,17,False,False,Option 3,option 3,option 1,48
What are the peak packet data rates supported by the Evolved Packet System on the radio access bearer? [3GPP Release 17],question 249,Standards specifications,17,False,False,Option 3,option 3,option 1,53
What criteria are considered for network broadcast geographic area coverage management? [3GPP Release 18],question 268,Standards specifications,18,False,False,Option 3,option 3,option 2,55
Which power saving scheme achieves power consumption reduction by potentially skipping PDCCH monitoring at subsequent slots of PDSCH/PUSCH transmission? [3GPP Release 16],question 282,Standards specifications,16,False,False,Option 1,option 1,option 3,58
What type of authentication and authorization is required for accessing a 5G VN group? [3GPP Release 18],question 289,Standards specifications,18,False,False,Option 2,option 3,option 5,59
What is one of the requirements for interworking between fixed access and Evolved Packet Core? [3GPP Release 17],question 384,Standards specifications,17,False,False,Option 2,option 4,option 3,73
What inputs are required for the Nmfaf_3daDataManagement_Configure service operation? [3GPP Release 18],question 398,Standards specifications,18,False,False,Option 2,option 2,option 1,75
What are the enhanced RRM requirements in DRX in connected mode? [3GPP Release 14],question 405,Standards specifications,14,False,False,Option 2,option 3,option 1,76
What is the scrambling sequence generator initialized with for a PDCCH with the CRC scrambled by G-RNTI in a common search space? [3GPP Release 17],question 558,Standards specifications,17,False,False,Option 3,option 5,option 1,99
What is the role of the serving network in fraud control? [3GPP Release 18],question 596,Standards specifications,18,False,False,Option 1,option 3,option 2,105
How is the LMF connected to the NG-RAN node in the positioning architecture? [3GPP Release 16],question 654,Standards overview,16,False,False,Option 3,option 3,option 5,122
Which channels are used for the performance requirements in Narrowband IoT? [3GPP Release 18],question 674,Standards specifications,18,False,False,Option 1,option 1,option 3,126
What happens when the Control Plane data back-off timer is running? [3GPP Release 18],question 717,Standards specifications,18,False,False,Option 2,option 2,option 1,133
"In a split gNB architecture, how is RACH configuration conflict resolved? [3GPP Release 17]",question 761,Standards specifications,17,False,False,Option 2,option 3,option 5,137
When is DCP configured on the PCell? [3GPP Release 17],question 813,Standards specifications,17,False,False,Option 4,option 4,option 5,144
What is a requirement for clock synchronisation of the 5G system? [3GPP Release 19],question 815,Standards specifications,19,False,False,Option 1,option 1,option 5,145
What is the purpose of the Service Enabler Architecture Layer (SEAL) for Verticals? [3GPP Release 16],question 823,Standards overview,16,False,False,Option 3,option 3,option 2,147
What is the maximum value of E-UTRA carrier frequency? [3GPP Release 17],question 855,Standards specifications,17,False,False,Option 2,option 2,option 1,153
"What is the numerology based on for PSS, SSS, and PBCH? [3GPP Release 17]",question 856,Standards specifications,17,False,False,Option 1,option 2,option 3,154
What does the Robust Call Setup for VoLTE subscriber in LTE Work Item aim to address? [3GPP Release 14],question 888,Standards overview,14,False,False,Option 3,option 2,option 1,158
What is the purpose of the User Service Identity Module (USIM)? [3GPP Release 18],question 890,Standards specifications,18,False,False,Option 5,option 5,option 2,159
What is the purpose of Immediate Divert in IP-PBX? [3GPP Release 17],question 892,Standards specifications,17,False,False,Option 5,option 5,option 1,160
What is the role of the home environment in the delegation of charging authority? [3GPP Release 18],question 955,Standards specifications,18,False,False,Option 1,option 2,option 4,171
What is an acceptable cell? [3GPP Release 17],question 976,Standards specifications,17,False,False,Option 3,option 3,option 1,173
What should URSP rules based on AF guidance not be set as? [3GPP Release 18],question 1029,Standards specifications,18,False,False,Option 3,option 3,option 1,182
How can power saving be enabled during active-time? [3GPP Release 18],question 1066,Standards specifications,18,False,False,Option 2,option 2,option 4,191
When does the NG-RAN perform NG-RAN paging before reporting the UE's location? [3GPP Release 18],question 1134,Standards specifications,18,False,False,Option 4,option 2,option 3,204
Which specifications define the Network Resource Model (NRM) information service and solution set for 5G networks and network slicing? [3GPP Release 15],question 1144,Standards overview,15,False,False,Option 5,option 5,option 1,206
What is the purpose of fraud control in the home environment? [3GPP Release 18],question 1161,Standards specifications,18,False,False,Option 4,option 4,option 2,209
What is the maximum number of CBR range configurations for sidelink communication congestion control? [3GPP Release 17],question 1185,Standards specifications,17,False,False,Option 12,option 2,option 1,216
Which standard defines the integration of the 5G System into a TSN data network (DN)? [3GPP Release 18],question 1196,Standards specifications,18,False,False,Option 2,option 4,option 5,219
What does the SMF do when it receives the enabling request for analytics information exposure from a UE? [3GPP Release 18],question 1226,Standards specifications,18,False,False,Option 1,option 5,option 2,225
What is the purpose of the xMB API? [3GPP Release 16],question 1258,Standards overview,16,False,False,Option 1,option 1,option 4,232
What is the SNR target for higher CBWs assuming 16 and 20 dB? [3GPP Release 18],question 1274,Standards specifications,18,False,False,Option 4,option 2,option 3,234
What is the role of a Relay Node (RN) in E-UTRAN? [3GPP Release 17],question 1311,Standards specifications,17,False,False,Option 2,option 2,option 1,240
What is the purpose of the N26 interface in the non-roaming architecture for interworking between 5GS and EPC? [3GPP Release 18],question 1321,Standards specifications,18,False,False,Option 2,option 3,option 1,243
What are the high-level features specified for 5G Location Services? [3GPP Release 16],question 1391,Standards overview,16,False,False,Option 3,option 3,option 2,258
What does the NWDAF containing MTLF consider when using untrusted AF(s) as data sources? [3GPP Release 18],question 1411,Standards specifications,18,False,False,Option 3,option 3,option 1,263
