question,question_id,category,release,paper_correct,baseline_correct,paper_prediction,baseline_prediction,expected,paper_index
When does the AMF enable or disable the 5G access stratum time distribution for a UE? [3GPP Release 18],question 49,Standards specifications,18,False,True,Option 3,option 5,option 5,13
What action is necessary to get access to services in Idle mode? [3GPP Release 17],question 74,Standards specifications,17,False,True,Option 5,option 1,option 1,18
What does the Multi-Identity (MiD) service enable? [3GPP Release 16],question 101,Standards overview,16,False,True,Option 1,option 2,option 2,24
What is the maximum number of PDU Sessions? [3GPP Release 17],question 108,Standards specifications,17,False,True,Option 1,option 4,option 4,25
When can the V-SMF delete the DNS context from the selected V-EASDF? [3GPP Release 18],question 123,Standards specifications,18,False,True,Option 2,option 1,option 1,28
What is the purpose of the MasterInformationBlockSidelink message? [3GPP Release 17],question 141,Standards specifications,17,False,True,Option 4,option 5,option 5,31
What is the indication used to invoke the terminal application in the peer end of a multimedia call? [3GPP Release 18],question 143,Standards specifications,18,False,True,Option 2,option 4,option 4,32
What happens during session termination in online charging? [3GPP Release 18],question 159,Standards specifications,18,False,True,Option 4,option 5,option 5,36
Can any party in a multiparty call undergo voice call continuity? [3GPP Release 18],question 173,Standards specifications,18,False,True,Option 4,option 1,option 1,37
What does the home environment need to provide to the visited network when allowing a subscriber to roam to different domains? [3GPP Release 18],question 194,Standards specifications,18,False,True,Option 2,option 3,option 3,44
Which interface is used to transfer short messages between the SGSN and SMS-GMSC/SMS-IWMSC? [3GPP Release 17],question 198,Standards specifications,17,False,True,Option 3,option 5,option 5,46
When is Paging with Wake Up Signal (WUS) used? [3GPP Release 17],question 225,Standards specifications,17,False,True,Option 1,option 2,option 2,50
How is Extended Access Barring supported in shared networks? [3GPP Release 17],question 244,Standards specifications,17,False,True,Option 2,option 4,option 4,52
What is the high quality criterion for reporting a PLMN to the NAS in the E-UTRA and NB-IoT case? [3GPP Release 17],question 313,Standards specifications,17,False,True,Option 3,option 1,option 1,63
What is the RRC buffer size for a UE? [3GPP Release 17],question 325,Standards specifications,17,False,True,Option 1,option 2,option 2,67
What does the 5G system prevent in terms of privacy for UEs using 5G LAN-type service? [3GPP Release 17],question 454,Standards specifications,17,False,True,Option 5,option 1,option 1,84
Which solutions in LTE support configurable reliability and latency combinations? [3GPP Release 18],question 475,Standards specifications,18,False,True,Option 2,option 1,option 1,89
What is the typical connection density in factory automation applications? [3GPP Release 17],question 483,Standards specifications,17,False,True,Option 4,option 3,option 3,91
What is the purpose of providing secure means for communication scheduling information to an NPN in a 5G network? [3GPP Release 17],question 539,Standards specifications,17,False,True,Option 4,option 1,option 1,95
What does 5GS act as when integrated with IEEE TSN network? [3GPP Release 18],question 552,Standards specifications,18,False,True,Option 2,option 1,option 1,98
What types of services can be included in a subscription? [3GPP Release 18],question 589,Standards specifications,18,False,True,Option 2,option 1,option 1,104
What is the term for the interference between UL transmission in one cell and DL reception in another cell? [3GPP Release 18],question 609,Standards specifications,18,False,True,Option 4,option 3,option 3,107
What are the components of the Charging Trigger Function (CTF)? [3GPP Release 18],question 628,Standards specifications,18,False,True,Option 5,option 1,option 1,110
How can the network request the mobile station to change the UMTS codec during a speech call? [3GPP Release 18],question 643,Standards specifications,18,False,True,Option 1,option 4,option 4,115
What does the Rel. 16 feature of Subscription information allow? [3GPP Release 16],question 648,Standards overview,16,False,True,Option 1,option 4,option 4,119
"What is the purpose of control plane load control, congestion and overload control in the 5G System? [3GPP Release 18]",question 649,Standards specifications,18,False,True,Option 3,option 1,option 1,120
When is the authorization for connectivity and services evaluated? [3GPP Release 18],question 652,Standards specifications,18,False,True,Option 2,option 4,option 4,121
