question,question_id,category,release,paper_correct,baseline_correct,paper_prediction,baseline_prediction,expected,paper_index
"For FR2-2 measurement system, what is the minimum channel bandwidth required for modelling multi-path fading in single carrier scenarios? [3GPP Release 18]",question 548,Standards specifications,18,True,False,Option 1,option 2,option 1,97
What are the management aspects addressed by the OAM_LTE_WLAN work item? [3GPP Release 16],question 564,Standards overview,16,True,False,Option 3,option 2,option 3,101
What does a RedCap UE expect if it monitors PDCCH according to Type1-PDCCH CSS set and does not monitor PDCCH according to Type2-PDCCH CSS set? [3GPP Release 17],question 669,Standards specifications,17,True,False,Option 2,option 1,option 2,124
What is the purpose of the ePWS feature? [3GPP Release 16],question 716,Standards overview,16,True,False,Option 1,option 4,option 1,132
What should the UE do when checking access Class or ACDC category related cell access restrictions during RRC connection establishment for E-UTRA connected to EPC? [3GPP Release 17],question 773,Standards specifications,17,True,False,Option 4,option 1,option 4,140
What determines the allowed network exposure information for the UE? [3GPP Release 18],question 1054,Standards specifications,18,True,False,Option 5,option 2,option 5,189
In which scenarios does the consumer NF determine new QoS parameters? [3GPP Release 18],question 1096,Standards specifications,18,True,False,Option 3,option 5,option 3,196
What is the purpose of integrity protection in NR connected to 5GC security? [3GPP Release 18],question 1123,Standards specifications,18,True,False,Option 4,option 2,option 4,203
What is the key characteristic of a roaming broker enabled Home Environment? [3GPP Release 18],question 1143,Standards specifications,18,True,False,Option 5,option 2,option 5,205
What does a '1' value for a bit in the TRS availability indication field indicate? [3GPP Release 17],question 1241,Standards specifications,17,True,False,Option 5,option 1,option 5,227
Which message contains the low layer configuration for the UE? [3GPP Release 17],question 1287,Standards specifications,17,True,False,Option 5,option 3,option 5,236
What is the cyclic-prefix length for normal cyclic prefix in SC-FDMA? [3GPP Release 17],question 1361,Standards specifications,17,True,False,Option 2,option 1,option 2,250
How are the metrics related to the provided thresholds evaluated for WLAN BSS? [3GPP Release 17],question 1383,Standards specifications,17,True,False,Option 2,option 3,option 2,255
When does the NG-RAN initiate the Connection Inactive procedure with CN based MT communication handling? [3GPP Release 18],question 1387,Standards specifications,18,True,False,Option 2,option 1,option 2,256
What reference point enables interactions between the EES and the EEC? [3GPP Release 18],question 1532,Standards specifications,18,True,False,Option 1,option 2,option 1,283
What is the definition of OTA sensitivity? [3GPP Release 18],question 1538,Standards specifications,18,True,False,Option 5,option 2,option 5,284
What is the purpose of the Caller Identity Verification Results Delivery to the User? [3GPP Release 17],question 1708,Standards specifications,17,True,False,Option 1,option 3,option 1,311
Which message is generated by the gNB-CU to transition the UE from RRC connected to RRC inactive? [3GPP Release 17],question 1787,Standards specifications,17,True,False,Option 3,option 4,option 3,325
How many subframes are there in half-frame 0? [3GPP Release 17],question 1956,Standards specifications,17,True,False,Option 1,option 4,option 1,348
What does the NWDAF collect from the UPF or the AF related to user data congestion analytics? [3GPP Release 18],question 1963,Standards specifications,18,True,False,Option 3,option 2,option 3,351
Which connectivity model requires URSP rules for steering the mapping between UE applications and PDU Sessions? [3GPP Release 18],question 2079,Standards specifications,18,True,False,Option 3,option 2,option 3,370
"In supporting an MA PDU Session, what does Rel-17 enable in terms of 3GPP access over EPC? [3GPP Release 17]",question 2474,Standards overview,17,True,False,Option 2,option 1,option 2,445
What is EC-GSM-IoT? [3GPP Release 14],question 2493,Standards overview,14,True,False,Option 1,option 3,option 1,452
What does the feature Scheduling of multiple DL/UL transport blocks with single DCI allow? [3GPP Release 16],question 2638,Standards overview,16,True,False,Option 5,option 2,option 5,472
What architectural or protocol changes are expected to have minimum impact on the 5G system? [3GPP Release 17],question 2821,Standards specifications,17,True,False,Option 1,option 4,option 1,497
When does the need for NG-RAN to continue reporting the UE's location cease? [3GPP Release 18],question 3117,Standards specifications,18,True,False,Option 1,option 2,option 1,546
"Under high network load conditions, how does the network protect itself? [3GPP Release 18]",question 3377,Standards specifications,18,True,False,Option 1,option 4,option 1,583
What is the duration of radio frame structure type 1? [3GPP Release 17],question 3570,Standards specifications,17,True,False,Option 2,option 1,option 2,626
Which SAN classes are defined for SAN type 1-O and SAN type 1-H? [3GPP Release 18],question 3571,Standards specifications,18,True,False,Option 1,option 3,option 1,627
Which documents specify the information to be pre-configured or stored in USIM for Disaster Roaming service? [3GPP Release 17],question 3586,Standards overview,17,True,False,Option 1,option 5,option 1,632
What is the relative increase in free space path loss from 43.5 GHz to 71 GHz? [3GPP Release 18],question 3605,Standards specifications,18,True,False,Option 4,option 3,option 4,636
What does the UPF do in response to the N4 Session Establishment request from the SMF? [3GPP Release 18],question 3649,Standards specifications,18,True,False,Option 2,option 3,option 2,644
What is the requirement for interruption time during handover of RT and NRT services in the Evolved Packet System? [3GPP Release 17],question 3693,Standards specifications,17,True,False,Option 2,option 3,option 2,651
What does the dispatchable location accuracy refer to? [3GPP Release 17],question 3887,Standards specifications,17,True,False,Option 3,option 1,option 3,689
What are the fundamental characteristics for QoS in the Streaming class? [3GPP Release 17],question 3917,Standards specifications,17,True,False,Option 1,option 2,option 1,692
What does the UE do if it is unable to comply with any part of the configuration included in the MobilityFromNRCommand message? [3GPP Release 17],question 3928,Standards specifications,17,True,False,Option 1,option 4,option 1,695
What is the minimum value of the uniformly distributed variables used for UMa and UMi-Street Canyon? [3GPP Release 18],question 3988,Standards specifications,18,True,False,Option 1,option 2,option 1,709
What is the granularity of the time reference provided by the network to end user equipment in LTE? [3GPP Release 18],question 4132,Standards specifications,18,True,False,Option 1,option 3,option 1,738
"What is the purpose of classifying UEs as fixed, camper or traveller? [3GPP Release 18]",question 4250,Standards specifications,18,True,False,Option 3,option 5,option 3,755
What is the purpose of the SMF in a 5G VN group? [3GPP Release 18],question 4399,Standards specifications,18,True,False,Option 3,option 4,option 3,781
What is the purpose of an eRG in a CPN? [3GPP Release 17],question 4418,Standards specifications,17,True,False,Option 1,option 4,option 1,784
